Study_Hours,Attendance,Assignment_Score,Marks,Result
0.8,72.0,83.9,38.0,Poor
11.9,55.3,86.5,100.0,Excellent
3.9,82.0,38.4,40.2,Average
9.7,60.8,48.6,84.8,Excellent
3.1,81.0,31.2,29.7,Poor
8.2,82.5,50.5,73.6,Good
9.1,57.6,84.1,88.0,Excellent
7.1,53.1,66.3,66.9,Good
5.7,89.0,54.4,58.9,Average
4.9,73.0,56.0,50.5,Average
4.2,52.9,30.1,33.0,Poor
11.2,99.7,51.0,99.9,Excellent
10.0,52.9,75.3,98.9,Excellent
11.6,84.8,98.2,100.0,Excellent
1.5,99.2,89.3,39.3,Average
8.8,62.0,31.7,77.4,Good
11.3,57.1,92.9,96.8,Excellent
2.2,56.1,84.8,46.3,Average
0.8,65.2,84.6,30.0,Poor
8.9,55.1,62.1,88.3,Excellent
6.9,84.6,57.9,64.6,Good
10.1,53.1,51.2,95.4,Excellent
1.7,75.5,34.6,30.1,Poor
9.5,99.8,46.0,88.7,Excellent
2.4,90.7,47.3,36.6,Poor
2.0,80.8,63.9,33.4,Poor
2.0,65.3,82.3,42.8,Average
9.8,81.2,63.2,89.9,Excellent
8.0,76.4,34.0,60.5,Good
6.3,71.3,97.0,64.9,Good
4.3,56.5,96.0,54.1,Average
10.5,94.3,85.0,100.0,Excellent
4.7,72.5,99.4,59.8,Good
9.8,59.7,68.1,94.3,Excellent
5.3,68.4,97.4,53.4,Average
4.5,70.7,35.3,46.5,Average
5.6,91.4,55.6,50.0,Average
3.6,86.7,45.8,46.9,Average
9.0,88.5,43.7,79.9,Good
6.0,50.6,39.9,57.4,Average
2.8,70.8,73.6,37.0,Average
10.8,74.1,84.7,100.0,Excellent
4.6,51.0,70.5,56.6,Average
6.5,63.0,40.3,62.9,Average
10.9,88.0,86.8,100.0,Excellent
7.5,56.9,74.5,75.9,Good
1.4,76.8,57.2,25.4,Poor
11.3,60.8,77.2,100.0,Excellent
7.5,50.6,48.2,75.7,Good
4.0,62.1,54.2,50.5,Average
1.7,98.8,94.2,36.8,Average
9.5,90.1,50.3,87.6,Excellent
7.4,98.0,62.9,68.0,Good
6.4,74.4,92.3,73.6,Good
10.7,55.5,79.5,98.8,Excellent
9.5,77.4,34.4,71.5,Good
1.8,72.7,40.3,22.3,Poor
3.7,92.2,30.5,40.1,Average
3.0,54.9,74.2,39.7,Average
8.9,74.4,61.3,76.2,Good
0.4,57.5,39.4,18.4,Poor
6.8,66.2,97.1,75.2,Good
9.1,86.9,67.1,85.2,Excellent
10.5,73.8,46.9,86.6,Excellent
4.1,68.8,65.0,53.9,Average
9.9,69.7,77.6,99.7,Excellent
1.3,73.0,35.3,21.2,Poor
10.2,89.3,49.2,86.8,Excellent
1.5,94.6,86.5,39.9,Average
4.8,97.8,62.2,53.8,Average
9.6,89.3,68.3,88.9,Excellent
1.8,65.8,60.3,34.9,Poor
2.8,84.4,33.1,24.8,Poor
8.7,71.9,41.6,82.8,Good
8.6,62.7,61.2,79.4,Good
7.7,92.0,44.6,69.9,Good
8.3,51.9,33.5,69.7,Good
6.5,95.1,89.1,72.7,Good
3.0,73.1,98.7,39.5,Average
4.1,81.9,85.5,61.8,Average
2.2,83.0,89.8,41.7,Average
10.9,94.8,46.9,97.4,Excellent
7.0,81.8,97.2,81.4,Good
4.8,80.7,43.8,45.4,Average
5.5,53.3,96.6,65.8,Good
11.4,75.9,99.6,100.0,Excellent
1.8,57.5,79.8,38.8,Poor
7.0,86.9,98.7,67.0,Good
6.1,75.6,69.9,63.5,Good
7.3,84.0,48.2,66.4,Good
0.2,52.1,60.6,21.0,Poor
10.5,54.2,71.5,95.3,Excellent
11.2,85.8,35.1,90.4,Excellent
6.8,53.6,73.6,64.0,Good
8.4,53.6,98.7,83.1,Excellent
11.1,50.6,43.3,86.7,Excellent
8.5,97.8,85.5,90.5,Excellent
1.8,86.9,93.6,38.4,Average
6.9,67.7,96.1,59.9,Good
7.3,64.8,97.2,75.0,Good
5.1,67.5,66.5,50.5,Average
8.8,88.7,98.4,82.3,Excellent
11.2,83.1,83.0,97.2,Excellent
11.1,59.3,41.3,92.5,Excellent
5.4,58.7,63.4,63.1,Average
1.4,54.9,80.3,32.6,Poor
11.8,83.0,47.3,97.5,Excellent
10.1,88.2,74.8,96.5,Excellent
1.5,63.3,76.7,29.8,Poor
11.1,51.0,41.4,87.3,Excellent
10.4,54.1,69.6,86.6,Excellent
6.2,98.4,84.0,61.5,Good
7.1,64.8,64.9,67.2,Good
4.8,88.5,30.8,49.3,Average
0.7,81.2,30.6,18.4,Poor
4.0,69.1,55.0,44.0,Average
9.6,60.3,94.8,87.7,Excellent
0.1,56.1,46.0,18.2,Poor
4.0,80.8,74.4,44.4,Average
4.8,88.7,45.5,55.3,Average
6.4,82.2,52.5,58.9,Good
11.0,76.5,89.4,99.0,Excellent
4.2,52.1,81.0,43.2,Average
4.2,98.4,36.7,43.8,Average
8.9,89.9,60.0,87.8,Excellent
5.4,64.6,32.0,53.4,Average
2.7,99.0,63.7,46.4,Average
5.4,80.1,76.4,63.9,Good
1.7,79.1,38.3,21.9,Poor
2.1,87.4,50.2,31.9,Poor
6.0,90.6,57.8,58.6,Good
5.0,82.8,94.4,69.0,Good
11.0,56.4,99.5,96.4,Excellent
4.3,66.9,33.1,48.2,Average
7.0,96.4,83.3,79.5,Good
7.6,61.2,56.0,79.6,Good
0.2,68.6,57.5,17.4,Poor
8.0,71.6,82.8,83.0,Excellent
2.1,72.0,94.3,52.4,Average
11.5,80.6,96.6,100.0,Excellent
1.8,97.2,70.4,28.6,Poor
5.0,62.0,55.0,42.6,Average
1.0,56.1,85.1,33.4,Poor
12.0,59.9,47.6,89.8,Excellent
6.0,94.3,69.5,63.7,Good
7.1,82.3,55.1,71.4,Good
0.8,64.3,76.0,28.2,Poor
9.0,90.8,46.8,83.6,Excellent
2.5,93.1,43.4,36.7,Poor
10.8,92.3,94.3,100.0,Excellent
2.5,95.9,37.1,29.5,Poor
2.3,62.6,65.4,32.0,Poor
0.4,87.8,45.5,17.1,Poor
5.7,73.0,32.7,57.7,Average
6.8,92.1,32.5,67.7,Good
0.8,86.4,42.3,24.9,Poor
9.3,88.8,90.7,98.1,Excellent
5.4,82.8,49.8,50.4,Average
6.3,58.9,96.5,77.6,Good
5.3,77.3,70.7,66.5,Good
4.8,99.2,60.6,59.4,Average
6.7,96.9,70.6,79.7,Good
1.9,52.2,66.2,23.2,Poor
2.2,58.2,83.1,35.1,Poor
10.3,56.6,49.8,84.3,Excellent
11.4,86.3,54.7,100.0,Excellent
4.5,90.9,92.6,53.7,Average
3.2,60.7,96.3,51.8,Average
7.7,75.3,92.5,87.0,Excellent
4.9,92.0,59.4,58.9,Average
0.3,86.6,84.6,29.1,Poor
1.9,77.1,63.3,28.6,Poor
8.6,79.5,64.8,76.8,Good
7.9,75.4,44.3,78.0,Good
0.3,64.9,71.4,26.9,Poor
2.7,78.3,43.0,34.9,Poor
2.8,84.4,53.2,36.4,Poor
8.1,93.7,89.9,73.6,Excellent
0.2,81.8,44.5,13.4,Poor
1.2,88.1,35.0,34.1,Poor
9.6,58.0,34.8,73.6,Good
2.1,73.1,95.9,42.4,Average
7.8,50.5,65.5,78.0,Good
2.9,62.3,58.7,31.7,Poor
1.2,86.3,86.8,35.3,Poor
2.9,99.6,88.5,52.8,Average
8.7,55.0,53.3,76.9,Good
10.3,70.1,78.6,100.0,Excellent
10.0,90.0,84.0,87.2,Excellent
4.8,60.2,75.8,59.8,Average
8.0,77.8,40.6,71.2,Good
2.5,86.7,91.3,48.0,Average
3.5,80.8,67.7,48.5,Average
10.8,59.4,49.8,87.5,Excellent
0.2,67.8,59.8,21.0,Poor
1.0,89.2,32.6,13.3,Poor
2.5,77.7,39.0,36.0,Poor
0.3,50.3,83.6,25.5,Poor
2.2,88.0,30.0,33.2,Poor
7.0,51.8,59.2,71.3,Good
5.1,87.3,66.6,59.3,Average
10.7,60.1,33.8,88.5,Excellent
9.8,97.9,98.1,93.7,Excellent
4.1,68.4,45.8,41.2,Average
3.1,66.3,51.3,44.6,Average
4.6,57.4,51.3,55.1,Average
7.1,65.3,46.1,64.1,Good
3.2,93.8,30.1,38.2,Poor
7.5,99.8,81.1,74.1,Good
4.9,68.4,97.7,66.6,Good
6.6,72.4,45.7,66.1,Good
5.2,86.1,76.4,70.2,Good
3.5,94.3,81.9,46.2,Average
11.4,79.7,89.4,100.0,Excellent
9.2,69.6,59.6,84.2,Excellent
1.7,70.6,51.2,32.3,Poor
10.4,84.8,52.8,90.9,Excellent
5.8,50.2,79.9,57.6,Average
10.7,81.0,87.2,100.0,Excellent
9.6,67.8,42.7,86.1,Excellent
5.1,89.7,56.0,51.3,Average
0.3,54.6,93.1,32.8,Poor
3.2,79.4,86.5,53.7,Average
6.5,74.0,98.9,73.4,Good
7.6,82.1,82.8,78.4,Good
3.1,53.2,57.5,41.3,Poor
1.7,79.0,71.3,29.6,Poor
10.0,78.1,76.3,93.3,Excellent
11.8,78.0,35.5,86.8,Excellent
6.3,80.2,68.1,70.2,Good
2.1,83.8,79.7,30.9,Poor
3.3,90.2,41.7,47.8,Average
0.2,63.5,84.6,23.2,Poor
11.0,91.3,70.9,99.0,Excellent
1.4,74.9,96.7,33.6,Poor
6.9,53.9,33.0,59.0,Average
3.3,52.9,48.6,45.1,Poor
6.7,66.7,72.1,55.2,Good
7.8,89.2,50.8,80.2,Good
10.0,85.4,80.0,95.9,Excellent
2.5,89.4,83.1,36.9,Average
0.1,75.9,37.2,10.6,Poor
1.6,72.0,66.0,40.3,Poor
10.8,57.4,65.6,89.7,Excellent
10.5,66.4,55.8,85.5,Excellent
7.2,71.7,95.3,82.1,Good
7.2,54.4,87.9,75.2,Good
8.0,61.0,78.8,73.0,Good
2.1,79.9,80.0,39.8,Average
11.0,86.8,62.3,92.8,Excellent
5.0,99.9,94.5,69.6,Good
4.6,96.7,78.6,62.9,Good
6.2,82.1,81.0,70.7,Good
0.6,71.1,90.3,30.9,Poor
2.0,81.8,49.2,40.8,Poor
8.9,89.3,86.5,88.2,Excellent
1.0,55.9,43.7,15.4,Poor
7.2,70.5,54.2,70.8,Good
2.9,92.0,53.5,50.9,Average
4.7,69.2,98.5,54.2,Average
3.5,78.6,90.0,48.3,Average
4.3,79.4,79.1,55.7,Average
8.6,59.2,80.9,82.2,Excellent
3.6,68.1,69.3,40.7,Average
6.8,66.7,96.3,79.1,Good
5.7,51.3,64.7,69.7,Good
8.0,51.2,56.6,73.2,Good
11.2,91.6,41.4,91.6,Excellent
8.8,63.7,85.0,77.2,Excellent
2.6,75.9,81.4,43.2,Average
0.4,64.9,56.9,26.0,Poor
3.1,97.0,31.8,40.5,Poor
7.1,63.0,88.7,74.0,Good
0.6,71.5,30.8,14.7,Poor
6.0,93.6,79.3,61.4,Good
7.2,92.1,97.9,83.1,Excellent
4.0,59.3,60.6,50.7,Average
9.3,90.1,46.4,75.3,Good
1.3,72.9,79.3,40.1,Poor
0.9,74.1,87.2,34.0,Poor
8.7,56.7,68.3,87.5,Excellent
5.9,54.0,97.7,59.9,Good
8.3,86.4,33.6,66.4,Good
5.2,74.8,65.3,56.3,Average
3.0,71.8,80.3,46.5,Average
9.8,86.5,90.4,100.0,Excellent
9.6,88.3,42.5,88.0,Excellent
8.3,57.9,86.0,80.1,Good
3.3,80.5,68.7,39.5,Average
7.1,56.8,57.8,73.0,Good
4.3,87.6,39.2,42.1,Average
1.1,82.8,90.6,42.2,Average
11.0,97.8,41.0,93.6,Excellent
1.6,53.4,51.7,35.1,Poor
11.4,52.9,50.3,98.6,Excellent
5.4,64.1,91.0,61.4,Good
